Step,Phase,Task,Duration,Command/Action,Success Criteria,Notes
1,Setup,Create Unity Catalog Structure,20 min,"CREATE CATALOG IF NOT EXISTS energy_australia_demo; CREATE SCHEMA IF NOT EXISTS energy_australia_demo.bronze; CREATE SCHEMA IF NOT EXISTS energy_australia_demo.silver;","Catalogs and schemas exist in Unity Catalog",Run in Databricks SQL Warehouse
2,Setup,Create Target Tables,15 min,"CREATE TABLE energy_australia_demo.bronze.live_meter_readings (...); CREATE TABLE energy_australia_demo.bronze.meter_metadata (...);","Tables exist with correct schema",See table_schemas.sql for DDL
3,Setup,Generate Personal Access Token,5 min,"User Settings > Developer > Access Tokens > Generate New Token","Token saved securely","Save as DATABRICKS_TOKEN environment variable"
4,Setup,Configure Environment Variables,5 min,"export DATABRICKS_HOST=https://your-workspace.cloud.databricks.com; export DATABRICKS_TOKEN=dapi...","Environment variables set","Add to ~/.bashrc or ~/.zshrc for persistence"
5,Test,Generate Test Metadata (10K meters),2 min,"python generate_meter_metadata.py --num-meters 10000 --output metadata_test.parquet","File created: metadata_test.parquet (~2 MB)","10,000 meters with realistic distribution"
6,Test,Generate Test Readings (1 day),15 min,"python meter_reading_generator.py --metadata metadata_test.parquet --start-date 2025-11-16 --days 1 --output meter_readings_test.parquet","File created: meter_readings_test.parquet (~500 MB)","2.88M records (10K meters × 288 readings/day)"
7,Test,Ingest Test Data via Zerobus,5 min,"python zerobus_ingestion_client.py --workspace-url $DATABRICKS_HOST --token $DATABRICKS_TOKEN --catalog energy_australia_demo --schema bronze --table live_meter_readings --input meter_readings_test.parquet --batch-size 5000 --workers 8","2.88M records ingested successfully","Throughput: ~500K-1M rec/sec"
8,Test,Verify Test Data,5 min,"SELECT COUNT(*) FROM energy_australia_demo.bronze.live_meter_readings; -- Should return ~2,880,000","Query returns correct count","Query latency < 5 seconds"
9,Scale,Generate Full Metadata (100K meters),5 min,"python generate_meter_metadata.py --num-meters 100000 --output metadata_100k.parquet","File created: metadata_100k.parquet (~20 MB)","100,000 meters with realistic distribution"
10,Scale,Generate Full Readings (7 days),2-3 hours,"python meter_reading_generator.py --metadata metadata_100k.parquet --start-date 2025-11-09 --days 7 --output meter_readings_100k_7d/ --batch-size 1000 --workers 16","Directory created with partitioned parquet files (~30 GB)","201.6M records (100K meters × 7 days × 288 readings/day)"
11,Scale,Ingest Full Dataset via Zerobus,5-10 min,"python zerobus_ingestion_client.py --workspace-url $DATABRICKS_HOST --token $DATABRICKS_TOKEN --catalog energy_australia_demo --schema bronze --table live_meter_readings --input ""meter_readings_100k_7d/*.parquet"" --batch-size 10000 --workers 16","~201.6M records ingested successfully","Throughput: ~500K-1M rec/sec; Total time: 3-7 minutes"
12,Verify,Query Full Dataset,2 min,"SELECT COUNT(*) FROM energy_australia_demo.bronze.live_meter_readings; -- Should return ~201,600,000","Query returns ~201.6M records","Photon-accelerated query: 1-10 seconds"
13,Verify,Test Real-Time Analytics,5 min,"SELECT location_state, COUNT(DISTINCT meter_id) as meters, ROUND(SUM(power_kw), 2) as total_demand_kw FROM energy_australia_demo.bronze.live_meter_readings r JOIN energy_australia_demo.bronze.meter_metadata m ON r.meter_id = m.meter_id WHERE timestamp >= current_timestamp() - INTERVAL 1 HOUR GROUP BY location_state;","Query returns state-level aggregations","Demonstrates < 5 sec query latency on 200M records"
14,Demo,Create Real-Time Dashboard,30 min,"Build Databricks SQL dashboard with: 1) Total demand by state, 2) Solar generation curves, 3) Data quality metrics, 4) Hourly load patterns","Dashboard visualizes live meter data","Use Databricks SQL Dashboards UI"
15,Demo,Build ML Pipeline (Optional),1 hour,"Create feature table for demand forecasting; Train Prophet model on hourly aggregations","ML model predicts next-hour demand","Demonstrates Unity Catalog integration with ML"
16,Documentation,Document Architecture,20 min,"Create architecture diagram showing: IoT Gateway → Zerobus → Unity Catalog → Analytics","Diagram shows end-to-end flow","Compare vs. current Kafka-based architecture"
17,Cleanup,Truncate Test Data (if needed),2 min,"DELETE FROM energy_australia_demo.bronze.live_meter_readings WHERE timestamp < '2025-11-16';","Only production data remains","Use cautiously - backup first!"
